dataset,method,role,seed,budget_detail,valid_domains,expected_domains,complete,missing_or_invalid_domains,mean_mAP50_percent,mean_delta_vs_source_pp
DIOR,D,student,42,common_1detector_epoch,4,4,True,,20.40228471159935,-7.3091015219688416
DIOR,D,student,43,common_1detector_epoch,4,4,True,,19.548531249165535,-8.162854984402657
DIOR,D,student,44,common_1detector_epoch,4,4,True,,19.158310815691948,-8.553075417876244
DIOR,E,ema,42,common_1detector_epoch,4,4,True,,28.142112493515015,0.4307262599468231
DIOR,E,ema,43,common_1detector_epoch,4,4,True,,28.176401555538177,0.46501532196998596
DIOR,E,ema,44,common_1detector_epoch,4,4,True,,28.1899631023407,0.4785768687725067
DIOR,E,student,42,common_1detector_epoch,4,4,True,,26.32712908089161,-1.3842571526765823
DIOR,E,student,43,common_1detector_epoch,4,4,True,,24.797065183520317,-2.9143210500478745
DIOR,E,student,44,common_1detector_epoch,4,4,True,,25.68095065653324,-2.0304355770349503
DIOR,F,ema,42,common_1detector_epoch,4,4,True,,27.779607102274895,0.06822086870670319
DIOR,F,ema,43,common_1detector_epoch,4,4,True,,27.406159043312073,-0.3052271902561188
DIOR,F,ema,44,common_1detector_epoch,4,4,True,,27.58384309709072,-0.1275431364774704
DIOR,F,student,42,common_1detector_epoch,4,4,True,,18.64115297794342,-9.070233255624771
DIOR,F,student,43,common_1detector_epoch,4,4,True,,18.180842697620392,-9.5305435359478
DIOR,F,student,44,common_1detector_epoch,4,4,True,,18.458480015397072,-9.25290621817112
DIOR,F_text_only,ema,42,common_1detector_epoch,4,4,True,,27.593178302049637,-0.11820793151855469
DIOR,F_text_only,ema,43,common_1detector_epoch,4,4,True,,27.523063495755196,-0.1883227378129959
DIOR,F_text_only,ema,44,common_1detector_epoch,4,4,True,,27.60445475578308,-0.10693147778511047
DIOR,F_veto_only,ema,42,common_1detector_epoch,4,4,True,,28.176146000623703,0.4647597670555115
DIOR,F_veto_only,ema,43,common_1detector_epoch,4,4,True,,28.199218213558197,0.4878319799900055
DIOR,F_veto_only,ema,44,common_1detector_epoch,4,4,True,,28.137769177556038,0.4263829439878464
DIOR,IRG,ema,42,common_1detector_epoch,4,4,True,,27.987365797162056,0.27597956359386444
DIOR,IRG,ema,43,common_1detector_epoch,4,4,True,,27.897246927022934,0.18586069345474243
DIOR,IRG,ema,44,common_1detector_epoch,4,4,True,,28.080304712057114,0.3689184784889221
DIOR,IRG,student,42,common_1detector_epoch,4,4,True,,26.118243858218193,-1.5931423753499985
DIOR,IRG,student,43,common_1detector_epoch,4,4,True,,26.06697268784046,-1.6444135457277298
DIOR,IRG,student,44,common_1detector_epoch,4,4,True,,25.877801701426506,-1.8335845321416855
DIOR,LPLD,ema,42,common_1detector_epoch,4,4,True,,27.990160882472992,0.2787746489048004
DIOR,LPLD,ema,43,common_1detector_epoch,4,4,True,,28.234773129224777,0.5233868956565857
DIOR,LPLD,ema,44,common_1detector_epoch,4,4,True,,28.15253660082817,0.44115036725997925
DIOR,LPLD,student,42,common_1detector_epoch,4,4,True,,26.147980615496635,-1.563405618071556
DIOR,LPLD,student,43,common_1detector_epoch,4,4,True,,26.38346254825592,-1.3279236853122711
DIOR,LPLD,student,44,common_1detector_epoch,4,4,True,,26.38949416577816,-1.3218920677900314
DIOR,LoRA-CGA,ema,42,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,4,4,True,,28.061918914318085,0.3505326807498932
DIOR,LoRA-CGA,ema,43,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,4,4,True,,28.14316786825657,0.4317816346883774
DIOR,LoRA-CGA,ema,44,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,4,4,True,,28.167329728603363,0.4559434950351715
DIOR,LoRA-CGA+VLST,ema,42,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,4,4,True,,28.15566658973694,0.44428035616874695
DIOR,LoRA-CGA+VLST,ema,43,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,4,4,True,,28.16985212266445,0.45846588909626007
DIOR,LoRA-CGA+VLST,ema,44,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,4,4,True,,28.071032464504242,0.3596462309360504
DIOR,SFUT,ema,42,common_1detector_epoch,4,4,True,,27.86506526172161,0.1536790281534195
DIOR,SFUT,ema,43,common_1detector_epoch,4,4,True,,27.868542820215225,0.1571565866470337
DIOR,SFUT,ema,44,common_1detector_epoch,4,4,True,,27.865994721651077,0.15460848808288574
DIOR,SFUT,student,42,common_1detector_epoch,4,4,True,,25.976992025971413,-1.7343942075967789
DIOR,SFUT,student,43,common_1detector_epoch,4,4,True,,26.156870275735855,-1.5545159578323364
DIOR,SFUT,student,44,common_1detector_epoch,4,4,True,,25.941814109683037,-1.7695721238851547
DIOR,SFYOLO,ema,42,EXTENDED_2detector_epochs_plus_TAM160k,4,4,True,,27.36234739422798,-0.34903883934020996
DIOR,SFYOLO,ema,43,EXTENDED_2detector_epochs_plus_TAM160k,4,4,True,,27.403872832655907,-0.30751340091228485
DIOR,SFYOLO,ema,44,EXTENDED_2detector_epochs_plus_TAM160k,4,4,True,,27.36833691596985,-0.3430493175983429
DIOR,SFYOLO,student,42,EXTENDED_2detector_epochs_plus_TAM160k,4,4,True,,21.173391491174698,-6.537994742393494
DIOR,SFYOLO,student,43,EXTENDED_2detector_epochs_plus_TAM160k,4,4,True,,21.33856453001499,-6.3728217035532
DIOR,SFYOLO,student,44,EXTENDED_2detector_epochs_plus_TAM160k,4,4,True,,21.56118117272854,-6.150205060839653
RSAR,A,source,42,fixed_source_reference,8,8,True,,34.39238611608744,0.0
RSAR,AASFOD,ema,42,1detector_epoch_plus_TSD_disclosed_port,8,8,True,,12.535100895911455,-21.85728522017598
RSAR,AASFOD,ema,43,1detector_epoch_plus_TSD_disclosed_port,8,8,True,,11.069618561305106,-23.32276755478233
RSAR,AASFOD,ema,44,1detector_epoch_plus_TSD_disclosed_port,8,8,True,,11.323497607372701,-23.068888508714736
RSAR,AASFOD,student,42,1detector_epoch_plus_TSD_disclosed_port,8,8,True,,8.314509270712733,-26.077876845374703
RSAR,AASFOD,student,43,1detector_epoch_plus_TSD_disclosed_port,8,8,True,,7.9036296578124166,-26.48875645827502
RSAR,AASFOD,student,44,1detector_epoch_plus_TSD_disclosed_port,8,8,True,,7.5741144304629415,-26.818271685624495
RSAR,B,ema,42,common_1detector_epoch,8,8,True,,34.841218031942844,0.4488319158554077
RSAR,B,ema,43,common_1detector_epoch,8,8,True,,34.80130918323994,0.40892306715250015
RSAR,B,ema,44,common_1detector_epoch,8,8,True,,35.067264176905155,0.6748780608177185
RSAR,B,student,42,common_1detector_epoch,8,8,True,,20.073527935892344,-14.318858180195093
RSAR,B,student,43,common_1detector_epoch,8,8,True,,20.152063481509686,-14.240322634577751
RSAR,B,student,44,common_1detector_epoch,8,8,True,,18.663941975682974,-15.728444140404463
RSAR,B_REG,ema,42,common_1detector_epoch,8,8,True,,35.43603587895632,1.0436497628688812
