dataset,method,role,domain,budget_detail,valid_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
DIOR,LPLD,student,clean,common_1detector_epoch,3,3,42;43;44,27.644291520118713,0.4636290734900045,-1.845693588256836
DIOR,LPLD,student,cloudy,common_1detector_epoch,3,3,42;43;44,27.362345655759174,0.12935030970932818,-1.664481560389201
DIOR,LPLD,student,contrast,common_1detector_epoch,3,3,42;43;44,26.668221751848858,0.4729904729843648,-1.4920910199483235
DIOR,LoRA-CGA,ema,brightness,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,24.675916135311127,0.04095171482044416,0.5074962973594666
DIOR,LoRA-CGA,ema,clean,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,29.709794123967487,0.0412710089847161,0.2198090155919393
DIOR,LoRA-CGA,ema,cloudy,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,29.71637745698293,0.2033449255983483,0.6895502408345541
DIOR,LoRA-CGA,ema,contrast,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,28.39446763197581,0.03697151152227167,0.23415486017862955
DIOR,LoRA-CGA+VLST,ema,brightness,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,24.752863744894665,0.10520341111891192,0.5844439069430033
DIOR,LoRA-CGA+VLST,ema,clean,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,29.81276611487071,0.3238878088260606,0.3227810064951579
DIOR,LoRA-CGA+VLST,ema,cloudy,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,29.537048935890198,0.41567568812064276,0.5102217197418213
DIOR,LoRA-CGA+VLST,ema,contrast,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,28.426056106885273,0.02838292330223858,0.26574333508809406
DIOR,SFUT,ema,brightness,common_1detector_epoch,3,3,42;43;44,24.2008979121844,0.02321652236999316,0.03247807423273722
DIOR,SFUT,ema,clean,common_1detector_epoch,3,3,42;43;44,29.599002997080486,0.012501128038338256,0.10901788870493571
DIOR,SFUT,ema,cloudy,common_1detector_epoch,3,3,42;43;44,29.387601216634113,0.018150586268333796,0.3607740004857381
DIOR,SFUT,ema,contrast,common_1detector_epoch,3,3,42;43;44,28.278634945551556,0.007953480141955285,0.11832217375437419
DIOR,SFUT,student,brightness,common_1detector_epoch,3,3,42;43;44,23.496413230895996,0.14405558114465497,-0.6720066070556641
DIOR,SFUT,student,clean,common_1detector_epoch,3,3,42;43;44,27.380139629046123,0.42514963436553754,-2.1098454793294272
DIOR,SFUT,student,cloudy,common_1detector_epoch,3,3,42;43;44,27.146728833516438,0.4398710045632702,-1.8800983826319377
DIOR,SFUT,student,contrast,common_1detector_epoch,3,3,42;43;44,26.077620188395183,0.17805052979312486,-2.082692583401998
DIOR,SFYOLO,ema,brightness,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,23.432516554991405,0.09660546839991621,-0.735903282960256
DIOR,SFYOLO,ema,clean,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,29.608337084452312,0.055003297426109654,0.11835197607676189
DIOR,SFYOLO,ema,cloudy,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,29.63589032491048,0.1463485715820066,0.6090631087621053
DIOR,SFYOLO,ema,contrast,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,26.83599889278412,0.1366516311343148,-1.3243138790130615
DIOR,SFYOLO,student,brightness,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,18.77029836177826,0.4128066698700681,-5.398121476173401
DIOR,SFYOLO,student,clean,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,22.353277603785198,0.4846898387032828,-7.136707504590352
DIOR,SFYOLO,student,cloudy,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,23.75432699918747,0.3362705776276669,-5.272500216960907
DIOR,SFYOLO,student,contrast,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,20.552946627140045,0.23538227773156914,-7.607366144657135
RSAR,A,source,am_noise_horizontal,fixed_source_reference,1,1,42,20.62060832977295,,0.0
RSAR,A,source,am_noise_vertical,fixed_source_reference,1,1,42,19.074364006519318,,0.0
RSAR,A,source,chaff,fixed_source_reference,1,1,42,47.19308912754059,,0.0
RSAR,A,source,clean,fixed_source_reference,1,1,42,53.139978647232056,,0.0
RSAR,A,source,gaussian_white_noise,fixed_source_reference,1,1,42,52.81371474266052,,0.0
RSAR,A,source,noise_suppression,fixed_source_reference,1,1,42,16.340675950050354,,0.0
RSAR,A,source,point_target,fixed_source_reference,1,1,42,51.58401131629944,,0.0
RSAR,A,source,smart_suppression,fixed_source_reference,1,1,42,14.372646808624268,,0.0
RSAR,AASFOD,ema,am_noise_horizontal,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,9.253980219364166,1.8481412158068247,-11.366628110408783
RSAR,AASFOD,ema,am_noise_vertical,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,5.3140512978037195,4.111924854929189,-13.760312708715597
RSAR,AASFOD,ema,chaff,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,14.772809545199076,1.5054410974433117,-32.420279582341514
RSAR,AASFOD,ema,clean,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,15.744317571322123,2.0902126541996906,-37.395661075909935
RSAR,AASFOD,ema,gaussian_white_noise,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,14.84138568242391,1.7645424509591308,-37.97232906023661
RSAR,AASFOD,ema,noise_suppression,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,8.427185813585917,2.4209621554497547,-7.9134901364644366
RSAR,AASFOD,ema,point_target,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,19.996002316474915,0.2098301051874682,-31.588008999824524
RSAR,AASFOD,ema,smart_suppression,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,4.792179726064205,2.5346265976380913,-9.580467082560062
RSAR,AASFOD,student,am_noise_horizontal,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,5.717735985914866,3.9418529095835506,-14.902872343858084
RSAR,AASFOD,student,am_noise_vertical,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,1.8523146553585927,1.189460186308714,-17.222049351160724
RSAR,AASFOD,student,chaff,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,9.682239343722662,1.493832824717838,-37.510849783817925
RSAR,AASFOD,student,clean,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,10.813339551289877,2.128074298662155,-42.32663909594218
RSAR,AASFOD,student,gaussian_white_noise,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,11.486328889926275,2.4530997198666626,-41.327385852734245
RSAR,AASFOD,student,noise_suppression,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,8.19778914252917,2.7737458425594386,-8.142886807521185
RSAR,AASFOD,student,point_target,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,11.2094447016716,0.6535409840314095,-40.37456661462784
RSAR,AASFOD,student,smart_suppression,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,4.4868166868885355,2.359924272381176,-9.885830121735731
