dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation
RSAR,gaussian_white_noise,D,43,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.20611026883125305,-63.1728689393109,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,D,44,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.1490553915500641,-45.68552924841975,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,E,42,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.25922635197639465,-79.45296686031642,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,E,43,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.30247412621974945,-92.7084246775549,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,E,44,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.280922532081604,-86.10285359348168,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,F,42,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.28062446415424347,-86.01149567028389,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,F,43,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.24168819189071655,-74.07751470641968,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,F,44,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.25932565331459045,-79.48340275494172,descriptive_only_unstable_near_zero_gap
RSAR,point_target,A,42,source,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,0.0,0.0,descriptive_only_unstable_near_zero_gap
RSAR,point_target,B,42,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.2448420226573944,-15.73567887898011,descriptive_only_unstable_near_zero_gap
RSAR,point_target,B,43,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.23742792010307312,-15.259184134718518,descriptive_only_unstable_near_zero_gap
RSAR,point_target,B,44,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.24533560872077942,-15.767401014372835,descriptive_only_unstable_near_zero_gap
RSAR,point_target,C,42,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.20770439505577087,-13.348891774692778,descriptive_only_unstable_near_zero_gap
RSAR,point_target,C,43,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.19688794016838074,-12.65373226379823,descriptive_only_unstable_near_zero_gap
RSAR,point_target,C,44,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.18384459614753723,-11.815453479819803,descriptive_only_unstable_near_zero_gap
RSAR,point_target,D,42,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.24100899696350098,-15.489335294658453,descriptive_only_unstable_near_zero_gap
RSAR,point_target,D,43,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.20795395970344543,-13.364930970549478,descriptive_only_unstable_near_zero_gap
RSAR,point_target,D,44,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.16469034552574158,-10.58443466335693,descriptive_only_unstable_near_zero_gap
RSAR,point_target,E,42,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.2567240297794342,-16.499320048420213,descriptive_only_unstable_near_zero_gap
RSAR,point_target,E,43,student,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.3000827580690384,-19.285929216082867,descriptive_only_unstable_near_zero_gap
