dataset,domain,method,role,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high
RSAR,am_noise_horizontal,C,student,complete_low_power,3,0.12251683821280797,0.023144609145271187,0.10821127891540527,0.14921920001506805
RSAR,am_noise_horizontal,D,student,complete_low_power,3,0.06208637108405431,0.025580440162093605,0.04545454680919647,0.09154219180345535
RSAR,am_noise_horizontal,E,student,complete_low_power,3,0.11746873458226521,0.015637531336892597,0.1082950010895729,0.13552461564540863
RSAR,am_noise_horizontal,F,student,complete_low_power,3,0.05151744931936264,0.0045961005427535735,0.0479111485183239,0.05669255554676056
RSAR,smart_suppression,A,source,fixed_source,1,0.14372646808624268,,,
RSAR,smart_suppression,B,student,complete_low_power,3,0.1273532584309578,0.02059405183235013,0.10520751029253006,0.145928755402565
RSAR,smart_suppression,C,student,complete_low_power,3,0.1814755400021871,0.0107745373861397,0.16904596984386444,0.18815936148166656
RSAR,smart_suppression,D,student,complete_low_power,3,0.10068902621666591,0.017299255615974733,0.08242549002170563,0.11682769656181335
RSAR,smart_suppression,E,student,complete_low_power,3,0.10411985218524933,0.004187721906648222,0.10028896480798721,0.10859072953462601
RSAR,smart_suppression,F,student,complete_low_power,3,0.07906778156757355,0.035954630924931924,0.04204362630844116,0.1138477548956871
RSAR,am_noise_vertical,A,source,fixed_source,1,0.19074364006519318,,,
RSAR,am_noise_vertical,B,student,complete_low_power,3,0.11529842764139175,0.021166981430298725,0.09321838617324829,0.13541561365127563
RSAR,am_noise_vertical,C,student,complete_low_power,3,0.12853149076302847,0.010919141059361086,0.12092024832963943,0.14104224741458893
RSAR,am_noise_vertical,D,student,complete_low_power,3,0.049350483963886894,0.01265823092794489,0.041500747203826904,0.0639532282948494
RSAR,am_noise_vertical,E,student,complete_low_power,3,0.13025209059317908,0.030223234687634663,0.09728213399648666,0.15664567053318024
RSAR,am_noise_vertical,F,student,complete_low_power,3,0.05398775512973467,0.01786209047528718,0.035550862550735474,0.07121338695287704
DIOR,clean,A,source,fixed_source,1,0.2948998510837555,,,
DIOR,clean,B,student,complete_low_power,3,0.2759048243363698,0.004309425825690637,0.2731790244579315,0.2808730900287628
DIOR,clean,C,student,complete_low_power,3,0.266979585091273,0.006356594676060773,0.2607356011867523,0.2734431028366089
DIOR,clean,D,student,complete_low_power,3,0.2073234568039576,0.00844055403496,0.1988198608160019,0.21569952368736267
DIOR,clean,E,student,complete_low_power,3,0.2660372157891591,0.010153143351326692,0.25450801849365234,0.27364423871040344
DIOR,clean,F,student,complete_low_power,3,0.1991476813952128,0.005432032782505479,0.1933087706565857,0.2040514051914215
DIOR,brightness,A,source,fixed_source,1,0.2416841983795166,,,
DIOR,brightness,B,student,complete_low_power,3,0.2339371939500173,0.0016883635163233341,0.23253753781318665,0.23581230640411377
DIOR,brightness,C,student,complete_low_power,3,0.23202457030614218,0.004680514925061141,0.22775611281394958,0.2370297610759735
DIOR,brightness,D,student,complete_low_power,3,0.18047592043876648,0.007567804471074483,0.17223718762397766,0.18711800873279572
DIOR,brightness,E,student,complete_low_power,3,0.23193450272083282,0.006134850420155863,0.22513635456562042,0.23705847561359406
DIOR,brightness,F,student,complete_low_power,3,0.1555736760298411,0.008030552426092071,0.14790530502796173,0.16392304003238678
DIOR,cloudy,A,source,fixed_source,1,0.29026827216148376,,,
DIOR,cloudy,B,student,complete_low_power,3,0.267321656147639,0.0062357743402465275,0.26158660650253296,0.2739596962928772
DIOR,cloudy,C,student,complete_low_power,3,0.26412569483121234,0.0046384673402905035,0.2602561116218567,0.2692675292491913
DIOR,cloudy,D,student,complete_low_power,3,0.20082328716913858,0.014875002266253741,0.18811127543449402,0.21718275547027588
DIOR,cloudy,E,student,complete_low_power,3,0.2678324182828267,0.008014096063661191,0.25959140062332153,0.2755984663963318
DIOR,cloudy,F,student,complete_low_power,3,0.1843308061361313,0.008527698732454968,0.17535488307476044,0.19232536852359772
DIOR,contrast,A,source,fixed_source,1,0.2816031277179718,,,
DIOR,contrast,B,student,complete_low_power,3,0.2629202902317047,0.003000389939076659,0.25950103998184204,0.2651135325431824
DIOR,contrast,C,student,complete_low_power,3,0.2566916048526764,0.001826819659488371,0.25543007254600525,0.25878649950027466
DIOR,contrast,D,student,complete_low_power,3,0.19949902594089508,0.011355744145686273,0.1882641762495041,0.2109719216823578
DIOR,contrast,E,student,complete_low_power,3,0.2582644621531169,0.0075020315088168855,0.2526468336582184,0.2667839825153351
DIOR,contrast,F,student,complete_low_power,3,0.1980208456516266,0.005181406036317107,0.19408294558525085,0.20389065146446228
