dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,chaff,F_text_only,43,ema,aircraft,0.585,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,43,ema,car,0.671,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,43,ema,tank,0.124,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,43,ema,bridge,0.349,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,43,ema,harbor,0.296,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,44,ema,ship,0.674,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,44,ema,aircraft,0.563,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,44,ema,car,0.672,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,44,ema,tank,0.138,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,44,ema,bridge,0.339,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,44,ema,harbor,0.325,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,42,ema,ship,0.675,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,42,ema,aircraft,0.646,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,42,ema,car,0.687,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,42,ema,tank,0.126,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,42,ema,bridge,0.338,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,42,ema,harbor,0.313,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,43,ema,ship,0.673,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,43,ema,aircraft,0.635,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,43,ema,car,0.681,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,43,ema,tank,0.13,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,43,ema,bridge,0.345,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,43,ema,harbor,0.33,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,44,ema,ship,0.673,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,44,ema,aircraft,0.622,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,44,ema,car,0.691,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
