dataset,domain,method,seed,role,status,mAP50,eval_dir,eval_json,checkpoint_verified,missing,searched,native_sidecar_present
DIOR,clean,F,42,ema,metadata_collected,0.29900985956192017,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/eval_20260907_202712.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/eval_20260907_202712.json""]}]",True
DIOR,clean,F,43,ema,metadata_collected,0.29463687539100647,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/eval_20260908_040254.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/eval_20260908_040254.json""]}]",True
DIOR,clean,F,44,ema,metadata_collected,0.2995159924030304,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/eval_20260908_041624.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/eval_20260908_041624.json""]}]",True
DIOR,brightness,A,42,source,metadata_collected,0.2416841983795166,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/eval_20260907_203847.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/eval_20260907_203847.json""]}]",True
DIOR,brightness,B,42,ema,metadata_collected,0.2446555644273758,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_20260907_205533.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_20260907_205533.json""]}]",True
DIOR,brightness,B,43,ema,metadata_collected,0.2454410046339035,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_20260907_091434.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_20260907_091434.json""]}]",True
DIOR,brightness,B,44,ema,metadata_collected,0.24648535251617432,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/B/eval_full_brightness_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_20260907_231803.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/B/eval_full_brightness_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_20260907_231803.json""]}]",True
DIOR,brightness,C,42,ema,metadata_collected,0.24738624691963196,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/eval_full_brightness_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/eval_full_brightness_ids_v1/eval_20260907_210734.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/eval_full_brightness_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/eval_full_brightness_ids_v1/eval_20260907_210734.json""]}]",True
DIOR,brightness,C,43,ema,metadata_collected,0.24734535813331604,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/C/eval_full_brightness_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/C/eval_full_brightness_ids_v1/eval_20260907_104223.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/C/eval_full_brightness_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/C/eval_full_brightness_ids_v1/eval_20260907_104223.json""]}]",True
DIOR,brightness,C,44,ema,metadata_collected,0.2475169599056244,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/C/eval_full_brightness_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/C/eval_full_brightness_ids_v1/eval_20260908_001229.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/C/eval_full_brightness_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/C/eval_full_brightness_ids_v1/eval_20260908_001229.json""]}]",True
