dataset,domain,method,role,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high
RSAR,am_noise_vertical,E,ema,complete_low_power,3,0.24805200099945068,0.004533397156069783,0.2429477721452713,0.25161001086235046
RSAR,am_noise_vertical,F,ema,complete_low_power,3,0.1616035302480062,0.018759983478374882,0.13997724652290344,0.17349596321582794
DIOR,clean,A,source,fixed_source,1,0.2948998510837555,,,
DIOR,clean,B,ema,complete_low_power,3,0.29810866713523865,0.000976571470759788,0.2970001995563507,0.29884225130081177
DIOR,clean,C,ema,complete_low_power,3,0.2967182993888855,0.001083429527119523,0.29559457302093506,0.2977563440799713
DIOR,clean,D,ema,complete_low_power,3,0.29938016335169476,0.0007801926278129773,0.2985842823982239,0.30014365911483765
DIOR,clean,E,ema,complete_low_power,3,0.29951510826746625,0.002007273757011657,0.29808932542800903,0.3018105626106262
DIOR,clean,F,ema,complete_low_power,3,0.29772090911865234,0.0026828139402790417,0.29463687539100647,0.2995159924030304
DIOR,brightness,A,source,fixed_source,1,0.2416841983795166,,,
DIOR,brightness,B,ema,complete_low_power,3,0.24552730719248453,0.0009179418343176557,0.2446555644273758,0.24648535251617432
DIOR,brightness,C,ema,complete_low_power,3,0.24741618831952414,8.96334626993114e-05,0.24734535813331604,0.2475169599056244
DIOR,brightness,D,ema,complete_low_power,3,0.23988433182239532,0.00028199510325702077,0.2395966351032257,0.2401602566242218
DIOR,brightness,E,ema,complete_low_power,3,0.2455314795176188,0.0009389490700388737,0.24478599429130554,0.24658599495887756
DIOR,brightness,F,ema,complete_low_power,3,0.24007701873779297,0.001594893841534138,0.23891043663024902,0.2418944090604782
DIOR,cloudy,A,source,fixed_source,1,0.29026827216148376,,,
DIOR,cloudy,B,ema,complete_low_power,3,0.29649975895881653,0.0010542836691416872,0.29528483748435974,0.29717421531677246
DIOR,cloudy,C,ema,complete_low_power,3,0.2942676643530528,5.4842438472168704e-05,0.2942235767841339,0.29432907700538635
DIOR,cloudy,D,ema,complete_low_power,3,0.28629525502522785,0.0004693862486767499,0.2857818007469177,0.28670230507850647
DIOR,cloudy,E,ema,complete_low_power,3,0.2967925767103831,0.0009772448139156338,0.29569584131240845,0.2975709140300751
DIOR,cloudy,F,ema,complete_low_power,3,0.2853549023469289,0.002179877404922725,0.28389349579811096,0.2878604531288147
DIOR,contrast,A,source,fixed_source,1,0.2816031277179718,,,
DIOR,contrast,B,ema,complete_low_power,3,0.284434974193573,0.0011317709510668796,0.2832428216934204,0.28549471497535706
DIOR,contrast,C,ema,complete_low_power,3,0.2845901648203532,0.00026980537622151073,0.28428155183792114,0.28478139638900757
DIOR,contrast,D,ema,complete_low_power,3,0.2793646653493245,0.0020071060748803344,0.27767622470855713,0.2815837860107422
DIOR,contrast,E,ema,complete_low_power,3,0.2849405308564504,0.0003001465206420516,0.28468215465545654,0.28526976704597473
DIOR,contrast,F,ema,complete_low_power,3,0.28044195969899494,0.001831004013472844,0.27880555391311646,0.2824195623397827
