dataset,method,role,metric,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high,seeds
DIOR,B,ema,delta_A,complete_low_power,3,0.004302147361967299,0.0008421462190355093,0.003471021850903829,0.005154897769292195,"42,43,44"
DIOR,B,ema,rPC_percent,complete_low_power,3,93.41725530521974,0.28557024221634164,93.13542216491494,93.70642140828527,"42,43,44"
DIOR,B,ema,method_clean_normalized_percent,complete_low_power,3,92.41248156289096,0.44595211081652913,91.90675685082256,92.74933898928184,"42,43,44"
DIOR,B,ema,clean_mAP50,complete_low_power,3,0.29810866713523865,0.000976571470759788,0.2970001995563507,0.29884225130081177,"42,43,44"
DIOR,B,ema,clean_delta_A,complete_low_power,3,0.0032088160514831543,0.000976571470759788,0.002100348472595215,0.003942400217056274,"42,43,44"
DIOR,C,ema,mPC,complete_low_power,3,0.2754246724976433,7.507057799539983e-05,0.27534069617589313,0.2754852771759033,"42,43,44"
DIOR,C,ema,delta_A,complete_low_power,3,0.004239473077985976,7.507057799539213e-05,0.004155496756235759,0.004300077756245931,"42,43,44"
DIOR,C,ema,rPC_percent,complete_low_power,3,93.39600257018071,0.025456295660888792,93.3675263531051,93.41655350570585,"42,43,44"
DIOR,C,ema,method_clean_normalized_percent,complete_low_power,3,92.82448827557255,0.3563501422151143,92.47181517715781,93.1844050200561,"42,43,44"
DIOR,C,ema,clean_mAP50,complete_low_power,3,0.2967182993888855,0.001083429527119523,0.29559457302093506,0.2977563440799713,"42,43,44"
DIOR,C,ema,clean_delta_A,complete_low_power,3,0.0018184483051300049,0.001083429527119523,0.0006947219371795654,0.0028564929962158203,"42,43,44"
DIOR,D,ema,mPC,complete_low_power,3,0.26851475073231584,0.0005795371742272912,0.268091544508934,0.2691752811272939,"42,43,44"
DIOR,D,ema,delta_A,complete_low_power,3,-0.002670448687341478,0.0005795371742272978,-0.003093654910723368,-0.002009918292363485,"42,43,44"
DIOR,D,ema,rPC_percent,complete_low_power,3,91.05286074086695,0.1965199955501847,90.90935228474986,91.2768453894012,"42,43,44"
DIOR,D,ema,method_clean_normalized_percent,complete_low_power,3,89.69067550153746,0.32110984716573115,89.32107554747968,89.90113555294595,"42,43,44"
DIOR,D,ema,clean_mAP50,complete_low_power,3,0.29938016335169476,0.0007801926278129773,0.2985842823982239,0.30014365911483765,"42,43,44"
DIOR,D,ema,clean_delta_A,complete_low_power,3,0.00448031226793925,0.0007801926278129773,0.003684431314468384,0.005243808031082153,"42,43,44"
DIOR,E,ema,mPC,complete_low_power,3,0.2757548623614841,0.0005337809539318735,0.27526265382766724,0.27632224559783936,"42,43,44"
DIOR,E,ema,delta_A,complete_low_power,3,0.004569662941826713,0.0005337809539318747,0.004077454408009847,0.005137046178181966,"42,43,44"
DIOR,E,ema,rPC_percent,complete_low_power,3,93.50796934894554,0.181004144956407,93.34106233559574,93.70036796639825,"42,43,44"
DIOR,E,ema,method_clean_normalized_percent,complete_low_power,3,92.07053738507705,0.77526614832206,91.20378407126555,92.6977996280425,"42,43,44"
DIOR,E,ema,clean_mAP50,complete_low_power,3,0.29951510826746625,0.002007273757011657,0.29808932542800903,0.3018105626106262,"42,43,44"
DIOR,E,ema,clean_delta_A,complete_low_power,3,0.004615257183710734,0.002007273757011657,0.00318947434425354,0.0069107115268707275,"42,43,44"
DIOR,F,ema,mPC,complete_low_power,3,0.2686246269279056,0.0018563377241639968,0.2672031621138255,0.2707248081763585,"42,43,44"
DIOR,F,ema,delta_A,complete_low_power,3,-0.0025605724917517766,0.0018563377241640174,-0.003982037305831909,-0.00046039124329884845,"42,43,44"
DIOR,F,ema,rPC_percent,complete_low_power,3,91.09011955777918,0.6294807261997512,90.60810343981363,91.80228717696745,"42,43,44"
DIOR,F,ema,method_clean_normalized_percent,complete_low_power,3,90.22967914856956,0.6710020042613842,89.45963397272733,90.68897494898619,"42,43,44"
DIOR,F,ema,clean_mAP50,complete_low_power,3,0.29772090911865234,0.0026828139402790417,0.29463687539100647,0.2995159924030304,"42,43,44"
DIOR,F,ema,clean_delta_A,complete_low_power,3,0.0028210580348968506,0.0026828139402790417,-0.00026297569274902344,0.004616141319274902,"42,43,44"
