dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,C,44,ema,car,0.77,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,44,ema,tank,0.152,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,44,ema,bridge,0.397,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,44,ema,harbor,0.404,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,42,ema,ship,0.768,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,42,ema,aircraft,0.634,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,42,ema,car,0.76,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,42,ema,tank,0.137,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,42,ema,bridge,0.363,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,42,ema,harbor,0.397,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
