dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation
RSAR,smart_suppression,F,42,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,-0.011617377400398254,-0.029966925370986424,descriptive_only_unstable_near_zero_gap
RSAR,smart_suppression,F,43,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,-0.026538588106632233,-0.06845606041993033,descriptive_only_unstable_near_zero_gap
RSAR,smart_suppression,F,44,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.006103411316871643,0.015743697147589997,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,A,42,source,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.0,0.0,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,B,42,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.04580460488796234,0.1344599396519328,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,B,43,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.043888673186302185,0.1288357003071644,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,B,44,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.04159995913505554,0.12211715412684292,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,C,42,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.04917827248573303,0.14436337933253887,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,C,43,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.03567610681056976,0.10472761811827778,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,C,44,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.03571963310241699,0.1048553900440343,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,D,42,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,-0.014688283205032349,-0.043117622740550775,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,D,43,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,-0.016580715775489807,-0.04867288011787037,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,D,44,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,-0.023491159081459045,-0.06895856519607348,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,E,42,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.05885457992553711,0.17276829009624975,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,E,43,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.06086637079715729,0.1786739251268763,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,E,44,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.052204132080078125,0.15324582465536246,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,F,42,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,-0.019406259059906006,-0.0569672946300316,descriptive_only_unstable_near_zero_gap
RSAR,am_noise_vertical,F,43,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,-0.050766393542289734,-0.1490253267927755,descriptive_only_unstable_near_zero_gap
