dataset,domain,method,seed,role,class_name,native_AP50,AP50,AP50_percent,status,precision,evidence
DIOR,brightness,B,42,student,groundtrackfield,0.201,0.201,20.1,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,harbor,0.055,0.055,5.5,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,overpass,0.126,0.126,12.6,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,ship,0.656,0.656,65.60000000000001,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,stadium,0.254,0.254,25.4,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,storagetank,0.31,0.31,31.0,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,tenniscourt,0.537,0.537,53.7,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,trainstation,0.116,0.116,11.600000000000001,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,vehicle,0.275,0.275,27.500000000000004,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,42,student,windmill,0.101,0.101,10.100000000000001,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
