dataset,method,role,seed,valid_domains,expected_domains,all_domains_complete,all_domain_mean_mAP50_percent,available_domain_mean_mAP50_percent,all_domain_delta_vs_source_pp
DIOR,F,student,43,4,4,True,18.180842697620392,18.180842697620392,-9.5305435359478
DIOR,F,student,44,4,4,True,18.458480015397072,18.458480015397072,-9.25290621817112
DIOR,F_text_only,ema,42,4,4,True,27.593178302049637,27.593178302049637,-0.11820793151855469
DIOR,F_text_only,ema,43,4,4,True,27.523063495755196,27.523063495755196,-0.1883227378129959
DIOR,F_text_only,ema,44,4,4,True,27.60445475578308,27.60445475578308,-0.10693147778511047
DIOR,F_veto_only,ema,42,4,4,True,28.176146000623703,28.176146000623703,0.4647597670555115
DIOR,F_veto_only,ema,43,4,4,True,28.199218213558197,28.199218213558197,0.4878319799900055
DIOR,F_veto_only,ema,44,4,4,True,28.137769177556038,28.137769177556038,0.4263829439878464
DIOR,IRG,ema,42,4,4,True,27.987365797162056,27.987365797162056,0.27597956359386444
DIOR,IRG,ema,43,4,4,True,27.897246927022934,27.897246927022934,0.18586069345474243
DIOR,IRG,ema,44,4,4,True,28.080304712057114,28.080304712057114,0.3689184784889221
DIOR,IRG,student,42,4,4,True,26.118243858218193,26.118243858218193,-1.5931423753499985
DIOR,IRG,student,43,4,4,True,26.06697268784046,26.06697268784046,-1.6444135457277298
DIOR,IRG,student,44,4,4,True,25.877801701426506,25.877801701426506,-1.8335845321416855
DIOR,LPLD,ema,42,4,4,True,27.990160882472992,27.990160882472992,0.2787746489048004
DIOR,LPLD,ema,43,4,4,True,28.234773129224777,28.234773129224777,0.5233868956565857
DIOR,LPLD,ema,44,4,4,True,28.15253660082817,28.15253660082817,0.44115036725997925
DIOR,LPLD,student,42,4,4,True,26.147980615496635,26.147980615496635,-1.563405618071556
DIOR,LPLD,student,43,4,4,True,26.38346254825592,26.38346254825592,-1.3279236853122711
DIOR,LPLD,student,44,4,4,True,26.38949416577816,26.38949416577816,-1.3218920677900314
DIOR,LoRA-CGA,ema,42,0,4,False,,,
DIOR,LoRA-CGA,ema,43,0,4,False,,,
DIOR,LoRA-CGA,ema,44,0,4,False,,,
DIOR,LoRA-CGA+VLST,ema,42,0,4,False,,,
DIOR,LoRA-CGA+VLST,ema,43,0,4,False,,,
DIOR,LoRA-CGA+VLST,ema,44,0,4,False,,,
DIOR,SFUT,ema,42,4,4,True,27.86506526172161,27.86506526172161,0.1536790281534195
DIOR,SFUT,ema,43,4,4,True,27.868542820215225,27.868542820215225,0.1571565866470337
DIOR,SFUT,ema,44,4,4,True,27.865994721651077,27.865994721651077,0.15460848808288574
DIOR,SFUT,student,42,4,4,True,25.976992025971413,25.976992025971413,-1.7343942075967789
DIOR,SFUT,student,43,4,4,True,26.156870275735855,26.156870275735855,-1.5545159578323364
DIOR,SFUT,student,44,4,4,True,25.941814109683037,25.941814109683037,-1.7695721238851547
DIOR,SFYOLO,ema,42,0,4,False,,,
DIOR,SFYOLO,ema,43,0,4,False,,,
DIOR,SFYOLO,ema,44,0,4,False,,,
DIOR,SFYOLO,student,42,0,4,False,,,
DIOR,SFYOLO,student,43,0,4,False,,,
DIOR,SFYOLO,student,44,0,4,False,,,
RSAR,A,source,42,8,8,True,34.39238611608744,34.39238611608744,0.0
RSAR,AASFOD,ema,42,3,8,False,,18.284394840399425,
RSAR,AASFOD,ema,43,3,8,False,,14.558357497056326,
RSAR,AASFOD,ema,44,3,8,False,,14.566905796527863,
RSAR,AASFOD,student,42,3,8,False,,12.827333559592565,
RSAR,AASFOD,student,43,3,8,False,,10.067413498957952,
RSAR,AASFOD,student,44,3,8,False,,9.190404911835989,
RSAR,B,ema,42,8,8,True,34.841218031942844,34.841218031942844,0.4488319158554077
RSAR,B,ema,43,8,8,True,34.80130918323994,34.80130918323994,0.40892306715250015
RSAR,B,ema,44,8,8,True,35.067264176905155,35.067264176905155,0.6748780608177185
RSAR,B,student,42,8,8,True,20.073527935892344,20.073527935892344,-14.318858180195093
RSAR,B,student,43,8,8,True,20.152063481509686,20.152063481509686,-14.240322634577751
RSAR,B,student,44,8,8,True,18.663941975682974,18.663941975682974,-15.728444140404463
RSAR,B_REG,ema,42,0,8,False,,,
RSAR,B_REG,ema,43,0,8,False,,,
RSAR,B_REG,ema,44,0,8,False,,,
RSAR,C,ema,42,8,8,True,35.775426402688026,35.775426402688026,1.3830402866005898
RSAR,C,ema,43,8,8,True,34.936835430562496,34.936835430562496,0.5444493144750595
RSAR,C,ema,44,8,8,True,35.6787234544754,35.6787234544754,1.2863373383879662
RSAR,C,student,42,8,8,True,23.72490605339408,23.72490605339408,-10.667480062693357
RSAR,C,student,43,8,8,True,23.250379599630833,23.250379599630833,-11.142006516456604
RSAR,C,student,44,8,8,True,23.194549418985844,23.194549418985844,-11.197836697101593
RSAR,D,ema,42,8,8,True,33.207327499985695,33.207327499985695,-1.1850586161017418
RSAR,D,ema,43,8,8,True,32.716187834739685,32.716187834739685,-1.6761982813477516
RSAR,D,ema,44,8,8,True,33.41266196221113,33.41266196221113,-0.9797241538763046
RSAR,D,student,42,8,8,True,17.466567875817418,17.466567875817418,-16.92581824027002
RSAR,D,student,43,8,8,True,17.98063972964883,17.98063972964883,-16.411746386438608
RSAR,D,student,44,8,8,True,23.000089172273874,23.000089172273874,-11.392296943813562
RSAR,E,ema,42,8,8,True,35.60476675629616,35.60476675629616,1.2123806402087212
RSAR,E,ema,43,8,8,True,35.38718298077583,35.38718298077583,0.9947968646883965
RSAR,E,ema,44,8,8,True,35.321956127882004,35.321956127882004,0.9295700117945671
RSAR,E,student,42,8,8,True,18.786228261888027,18.786228261888027,-15.60615785419941
RSAR,E,student,43,8,8,True,17.30617368593812,17.30617368593812,-17.086212430149317
RSAR,E,student,44,8,8,True,18.408154137432575,18.408154137432575,-15.984231978654861
RSAR,F,ema,42,8,8,True,32.485346868634224,32.485346868634224,-1.9070392474532127
RSAR,F,ema,43,8,8,True,31.85868924483657,31.85868924483657,-2.533696871250868
RSAR,F,ema,44,8,8,True,32.533981278538704,32.533981278538704,-1.8584048375487328
RSAR,F,student,42,8,8,True,15.282765310257673,15.282765310257673,-19.109620805829763
RSAR,F,student,43,8,8,True,16.530116833746433,16.530116833746433,-17.862269282341003
RSAR,F,student,44,8,8,True,17.36106281168759,17.36106281168759,-17.031323304399848
RSAR,F_text_only,ema,42,6,8,False,,32.1979783475399,
RSAR,F_text_only,ema,43,7,8,False,,34.31355357170105,
RSAR,F_text_only,ema,44,6,8,False,,31.808971365292866,
RSAR,F_veto_only,ema,42,6,8,False,,29.806730151176453,
RSAR,F_veto_only,ema,43,6,8,False,,34.152050813039146,
RSAR,F_veto_only,ema,44,8,8,True,35.58581955730915,35.58581955730915,1.193433441221714
RSAR,IRG,ema,42,8,8,True,36.7041552439332,36.7041552439332,2.311769127845764
RSAR,IRG,ema,43,8,8,True,36.65805347263813,36.65805347263813,2.2656673565506935
RSAR,IRG,ema,44,6,8,False,,36.77263433734576,
RSAR,IRG,student,42,8,8,True,16.38613073155284,16.38613073155284,-18.006255384534597
RSAR,IRG,student,43,8,8,True,17.67356852069497,17.67356852069497,-16.718817595392466
RSAR,IRG,student,44,6,8,False,,14.358574089904627,
RSAR,LPLD,ema,42,8,8,True,35.27894280850887,35.27894280850887,0.8865566924214363
RSAR,LPLD,ema,43,8,8,True,34.92971872910857,34.92971872910857,0.5373326130211353
RSAR,LPLD,ema,44,6,8,False,,34.10284221172333,
RSAR,LPLD,student,42,8,8,True,15.434487629681826,15.434487629681826,-18.95789848640561
RSAR,LPLD,student,43,8,8,True,15.87069476954639,15.87069476954639,-18.521691346541047
RSAR,LPLD,student,44,6,8,False,,13.435335208972296,
RSAR,LoRA-CGA,ema,42,0,8,False,,,
RSAR,LoRA-CGA,ema,43,0,8,False,,,
RSAR,LoRA-CGA,ema,44,0,8,False,,,
RSAR,LoRA-CGA+VLST,ema,42,0,8,False,,,
RSAR,LoRA-CGA+VLST,ema,43,0,8,False,,,
RSAR,LoRA-CGA+VLST,ema,44,0,8,False,,,
RSAR,SFUT,ema,42,8,8,True,35.656688921153545,35.656688921153545,1.2643028050661087
RSAR,SFUT,ema,43,8,8,True,35.769252479076385,35.769252479076385,1.3768663629889488
RSAR,SFUT,ema,44,7,8,False,,38.54262701102665,
RSAR,SFUT,student,42,8,8,True,17.67401210963726,17.67401210963726,-16.718374006450176
RSAR,SFUT,student,43,8,8,True,18.101132940500975,18.101132940500975,-16.291253175586462
RSAR,SFUT,student,44,7,8,False,,17.236678834472382,
RSAR,SFYOLO,ema,42,0,8,False,,,
RSAR,SFYOLO,ema,43,0,8,False,,,
RSAR,SFYOLO,ema,44,0,8,False,,,
RSAR,SFYOLO,student,42,0,8,False,,,
RSAR,SFYOLO,student,43,0,8,False,,,
RSAR,SFYOLO,student,44,0,8,False,,,
