dataset,domain,method,role,comparison_group,n_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
DIOR,contrast,C,ema,common_1epoch,3,3,42;43;44,28.45901648203532,0.02698053762215107,0.29870371023813885
DIOR,contrast,C,student,common_1epoch,3,3,42;43;44,25.66916048526764,0.1826819659488371,-2.491152286529541
DIOR,contrast,D,ema,common_1epoch,3,3,42;43;44,27.936466534932453,0.20071060748803343,-0.22384623686472574
DIOR,contrast,D,student,common_1epoch,3,3,42;43;44,19.949902594089508,1.1355744145686273,-8.210410177707672
DIOR,contrast,E,ema,common_1epoch,3,3,42;43;44,28.49405308564504,0.030014652064205158,0.3337403138478597
DIOR,contrast,E,student,common_1epoch,3,3,42;43;44,25.826446215311687,0.7502031508816885,-2.333866556485494
DIOR,contrast,F,ema,common_1epoch,3,3,42;43;44,28.044195969899494,0.1831004013472844,-0.11611680189768474
DIOR,contrast,F,student,common_1epoch,3,3,42;43;44,19.80208456516266,0.5181406036317108,-8.358228206634521
DIOR,contrast,F_text_only,ema,common_1epoch,3,3,42;43;44,27.996676166852314,0.16159249464138492,-0.1636366049448649
DIOR,contrast,F_veto_only,ema,common_1epoch,3,3,42;43;44,28.49121888478597,0.011009491122341881,0.33090611298878986
DIOR,contrast,IRG,ema,common_1epoch,3,3,42;43;44,28.424392143885296,0.07705186982994963,0.26407937208811444
DIOR,contrast,IRG,student,common_1epoch,3,3,42;43;44,26.50485336780548,0.27405892673916166,-1.6554594039916992
DIOR,contrast,LPLD,ema,common_1epoch,3,3,42;43;44,28.53620449701945,0.14106807411334193,0.3758917252222697
DIOR,contrast,LPLD,student,common_1epoch,3,3,42;43;44,26.668221751848858,0.4729904729843648,-1.4920910199483235
DIOR,contrast,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,
DIOR,contrast,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,
DIOR,contrast,SFUT,ema,common_1epoch,3,3,42;43;44,28.278634945551556,0.007953480141955285,0.11832217375437419
DIOR,contrast,SFUT,student,common_1epoch,3,3,42;43;44,26.077620188395183,0.17805052979312486,-2.082692583401998
DIOR,contrast,SFYOLO,ema,extended_2epoch,0,3,,,,
DIOR,contrast,SFYOLO,student,extended_2epoch,0,3,,,,
RSAR,am_noise_horizontal,A,source,common_1epoch,1,1,42,20.62060832977295,,0.0
RSAR,am_noise_horizontal,AASFOD,ema,common_1epoch,0,3,,,,
RSAR,am_noise_horizontal,AASFOD,student,common_1epoch,0,3,,,,
