dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation,comparison_group
RSAR,smart_suppression,IRG,43,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.012216523289680481,0.031512417053974895,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,smart_suppression,IRG,44,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.010624408721923828,0.027405571180792853,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,smart_suppression,LPLD,42,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.010212704539299011,0.026343583772583327,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,smart_suppression,LPLD,43,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,-0.028543196618556976,-0.07362693088444959,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,smart_suppression,LPLD,44,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,-0.0011576414108276367,-0.002986126091026877,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,smart_suppression,SFUT,42,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.0025472491979599,0.006570607460333738,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,smart_suppression,SFUT,43,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.0052626729011535645,0.013575019614614152,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,smart_suppression,SFUT,44,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.0032105445861816406,0.008281572225675611,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_vertical,A,42,source,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
RSAR,am_noise_vertical,IRG,42,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.0614161342382431,0.18028776197345642,descriptive_only_unstable_near_zero_gap,common_one_epoch
