dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,LPLD,43,ema,ship,0.764,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,43,ema,aircraft,0.756,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,43,ema,car,0.773,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,43,ema,tank,0.161,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,43,ema,bridge,0.375,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,43,ema,harbor,0.391,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,44,ema,ship,0.758,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,44,ema,aircraft,0.761,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,44,ema,car,0.77,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,44,ema,tank,0.127,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
